NationalID,Gender,GivenName,MiddleInitial,Surname,StreetAddress,City,State,ZipCode,Birthday,CCType,CCNumber,CCExpires
126-72-7708,female,Tammy,L,Fuller,2712 Pallet Street,Westbury,NY,11590,6/25/1976,Visa,4716716526580251,4/2014
546-70-7908,male,Steven,S,Coleman,1982 Angie Drive,Westminster,CA,92683,4/29/1971,MasterCard,5446132658503810,8/2014
454-65-5543,male,Vincent,M,Fraser,1176 Ashton Lane,Austin,TX,78701,5/9/1992,Visa,4929096219246863,10/2013
218-54-1887,male,John,S,Bugarin,3277 Hewes Avenue,Baltimore,MD,21202,3/3/1961,MasterCard,5461754765442457,8/2013
362-56-4495,male,Scott,M,Shell,2234 Howard Street,Wyoming,MI,49509,6/26/1985,MasterCard,5107569047382879,3/2013
432-56-7813,male,Justin,M,Edwards,4350 Cedar Street,Little Rock,AR,72201,8/18/1959,MasterCard,5587889588246260,5/2015
651-28-4418,female,Alicia,C,Smith,4992 Lady Bug Drive,Colorado Springs,CO,80903,8/28/1948,Visa,4532480041815765,2/2015
051-12-5287,male,Roosevelt,A,Yandell,731 Morningview Lane,Westbury,NY,11590,1/22/1938,MasterCard,5189684760167976,9/2014
285-98-6641,female,Kimberly,W,Hart,522 Bingamon Road,Cleveland,OH,44103,11/29/1942,Visa,4556123126928290,1/2014
575-82-0338,female,Cynthia,A,Campbell,3376 Indiana Avenue,Haleiwa,HI,96712,8/22/1937,MasterCard,5205782764982562,7/2015
527-37-5339,male,Thomas,J,Rodriquez,2572 Dye Street,Tempe,AZ,85283,8/22/1945,Visa,4539998574566953,4/2012
769-42-9894,female,Catherine,J,Henson,3393 Tetrick Road,Fort Myers,FL,33905,12/31/1949,Visa,4539099909630141,5/2012
449-18-2565,female,Courtney,S,Wiggins,3720 Waldeck Street,Watauga,TX,76148,7/24/1973,Visa,4716492711007076,12/2013
685-01-0612,male,Anthony,C,Yoder,586 Havanna Street,Pilot Mountain,NC,27041,11/10/1976,Visa,4716549602149638,7/2011
327-72-0959,male,David,P,Manley,2557 Ross Street,Mount Vernon,IL,62864,12/14/1960,MasterCard,5302683640576499,2/2014
630-82-3487,female,Ann,A,Gilbert,1764 Hall Place,Merit,TX,75072,5/1/1988,MasterCard,5180225950416887,3/2014
318-46-9414,male,Miguel,M,Garceau,1906 Steele Street,Hickory Hills,IL,60457,7/26/1978,MasterCard,5167526592866042,12/2012
507-98-0444,male,Trevor,M,Miller,2429 Romrog Way,Wolbach,NE,68882,7/1/1987,MasterCard,5289540586762177,4/2015
356-66-5481,male,Barry,P,Johnson,910 West Drive,Chicago,IL,60606,1/9/1958,MasterCard,5407239794158651,3/2012
307-21-4026,female,Amber,T,Martinez,3061 Pearcy Avenue,Fort Wayne,IN,46802,12/21/1961,MasterCard,5354295838788054,7/2015
452-42-2149,female,Rosa,S,Delbosque,2717 Oliver Street,Watauga,TX,76148,9/25/1941,Visa,4916536306408962,8/2011
362-68-4271,male,Don,J,Beeson,4533 Corpening Drive,Southfield,MI,48235,6/1/1946,MasterCard,5332003726233499,1/2015
681-03-5821,male,Jonathon,J,Walker,1684 Fire Access Road,Ramseur,NC,27316,1/5/1971,MasterCard,5548186883742418,10/2015
427-43-7514,male,Jason,J,Johnson,1007 Brownton Road,Starkville,MS,39759,12/25/1954,MasterCard,5398313162590042,2/2012
621-19-6181,female,Marianne,P,Niemi,2445 Meadow Lane,Napa,CA,94559,7/5/1953,MasterCard,5463877311248744,9/2011
325-48-0892,female,Catherine,T,Wilkerson,687 Woodland Drive,Schaumburg,IL,60173,8/23/1928,Visa,4556360496023878,12/2015
539-35-6142,male,Mitchell,A,Gomez,3418 University Street,Seattle,WA,98133,12/20/1982,Visa,4929170642982681,9/2011
516-22-3580,male,William,J,Hendrick,2596 Coolidge Street,Outlook,MT,59252,11/30/1938,MasterCard,5393065260213415,3/2014
679-10-5277,female,Gerda,A,Peterson,3267 Rosebud Avenue,Cotton Plant,AR,72036,8/31/1945,MasterCard,5293748277107453,3/2011
238-69-8251,male,Wayne,S,McRae,1106 Bryan Street,Greensboro,NC,27406,6/14/1982,Visa,4485464878834567,10/2013
212-41-7524,male,Randall,M,Houston,2080 Wilmar Farm Road,Herndon,MD,22070,6/11/1938,MasterCard,5357670098602756,11/2014
051-32-4155,male,Miguel,J,Kearse,1479 Wayback Lane,Hicksville,NY,11612,7/13/1983,MasterCard,5158268846352864,4/2011
408-57-3439,female,Janice,W,Bowman,2313 Nixon Avenue,Johnson City,TN,37601,2/3/1970,MasterCard,5415085485891070,6/2013
324-12-7653,female,Charles,M,Soper,1604 Lewis Street,Arlington Heights,IL,60004,9/5/1971,MasterCard,5288587224287423,4/2015
166-32-6027,female,Helen,A,Morton,2269 Platinum Drive,Pittsburgh,PA,15203,8/16/1990,MasterCard,5151177979575752,9/2015
203-32-4042,male,Robert,B,Tucci,3412 Stiles Street,Pittsburgh,PA,15222,7/23/1968,MasterCard,5514599779736221,2/2014
683-01-7237,female,Margaret,P,Russel,2003 Broadcast Drive,Charlotte,NC,28208,11/8/1942,MasterCard,5357449997987950,9/2011
035-48-1350,female,Cindy,T,Hales,1087 Winding Way,Providence,RI,02903,6/15/1985,MasterCard,5350351577222245,9/2014
437-40-1358,male,Scott,W,McGriff,4046 Willow Oaks Lane,Lafayette,LA,70506,11/9/1930,Visa,4916292430898666,4/2011
044-50-4990,female,Genna,J,Isom,2344 Copperhead Road,Farmington,CT,06032,10/3/1937,MasterCard,5100994301534725,10/2014
571-56-3724,male,Paul,S,Hancock,2018 Koontz Lane,Northridge,CA,91324,9/1/1957,MasterCard,5594476830066570,9/2015
338-72-6009,male,Michael,I,Brown,3908 Star Route,Burr Ridge,IL,60527,8/18/1954,Visa,4929439740149349,4/2014
403-53-6347,male,Justin,N,O'Donnell,1282 Rowes Lane,Paducah,KY,42003,9/23/1942,MasterCard,5188343994590849,4/2015
380-14-3367,male,Troy,M,Zheng,1538 Nash Street,Detroit,MI,48219,12/30/1976,Visa,4539545312124098,2/2015
642-74-1609,male,Theodore,S,Black,3979 Freshour Circle,San Antonio,TX,78258,3/10/1926,Visa,4532031336079102,3/2015
075-74-3635,male,Matthew,R,Inman,4723 Oak Drive,Albany,NY,12207,9/1/1944,MasterCard,5185318533725323,11/2015
560-81-8246,female,Harriette,J,Lockhart,819 Bel Meadow Drive,Ontario,CA,91761,8/17/1949,Visa,4485915006053941,1/2013
156-15-4776,female,Kim,M,Cooper,2661 Center Street,Jersey City,NJ,07304,11/17/1942,MasterCard,5289279073748650,1/2011
326-20-2854,male,Alan,P,Felder,4277 Steele Street,Burr Ridge,IL,61257,7/15/1956,MasterCard,5408786555284547,2/2013
307-13-7698,male,Tyler,E,Crowe,4922 Clay Street,Indianapolis,IN,46254,7/15/1990,MasterCard,5303350903288019,1/2015
018-50-3510,male,John,M,Adams,4255 Cedar Lane,Boston,MA,02199,10/26/1988,MasterCard,5556459980719020,4/2014
336-52-0920,female,Starr,M,Cornwall,3133 Eagle Street,Olney,IL,62450,6/18/1965,Visa,4532243737938329,8/2014
217-12-4969,female,Mary,E,Smoot,439 Bluff Street,Gaithersburg,MD,20877,2/19/1984,MasterCard,5237747667067219,1/2014
533-04-6481,female,Kimbra,J,Williams,560 Elliot Avenue,Seattle,WA,98105,5/18/1934,Visa,4556407792712371,6/2012
098-66-6108,female,Nannie,W,Lambert,4249 Cantebury Drive,New York,NY,10007,7/18/1982,MasterCard,5291617488868645,4/2012
495-14-7044,male,Ricardo,H,Jones,3153 Bruce Street,Stlouis,MO,63101,9/8/1979,MasterCard,5302734724765399,6/2013
559-45-1689,female,Margaret,J,Rodriguez,873 Cemetery Street,Watsonville,CA,95076,3/31/1970,MasterCard,5247110416961984,2/2011
530-32-9973,male,Thomas,M,Duke,1144 Hiney Road,Las Vegas,NV,89107,10/5/1933,Visa,4485404218699080,10/2015
454-35-8202,male,Leo,K,Ramirez,3599 Circle Drive,Houston,TX,77027,1/1/1926,Visa,4539953588809295,1/2012
138-44-5091,male,Nelson,W,Roby,744 Prospect Street,Berlin,NJ,08009,10/9/1972,MasterCard,5482117231538966,9/2014
464-96-2656,male,Timothy,F,Williams,4937 Oliver Street,Fort Worth,TX,76118,10/11/1974,MasterCard,5279394111908844,11/2011
220-27-6925,female,Patricia,M,Craig,2402 Lake Floyd Circle,Washington,MD,20011,8/3/1985,MasterCard,5122330077256561,6/2012
767-32-4702,male,Michael,M,Silva,1670 Star Trek Drive,Mobile,FL,36602,2/6/1963,MasterCard,5269585896420994,3/2012
643-74-6147,female,Luz,J,Wong,4303 Birch  Street,El Paso,TX,79906,10/26/1951,Visa,4532042917092950,12/2011
421-86-9773,female,Kathryne,R,Jackson,4082 Lonely Oak Drive,Fort Morgan,AL,36542,10/12/1947,MasterCard,5384307035242175,12/2015
463-93-0503,male,Robert,C,Cannella,44 Hill Haven Drive,Waco,TX,76710,8/22/1975,Visa,4539835404349871,1/2013
770-44-3093,male,Aaron,M,Stephens,2322 Badger Pond Lane,Tampa,FL,33610,9/8/1944,Visa,4916857500637234,3/2014
162-05-4774,female,Anna,W,Eldred,3109 Linda Street,Philadelphia,PA,19108,3/27/1962,MasterCard,5226044355867883,1/2014
451-29-7292,female,Ashley,S,Brewer,2230 Clair Street,Waco,TX,76710,5/31/1950,Visa,4532150725523114,12/2013
386-10-0471,female,Pauline,J,Cordero,1122 Twin Oaks Drive,Brethren,MI,49619,4/8/1968,Visa,4532617627717374,5/2014
220-36-4802,male,Earnest,A,Berk,1100 Wilmar Farm Road,Reston,MD,20191,4/21/1988,MasterCard,5497018451724836,9/2013
689-03-9766,male,Pedro,D,Trujillo,1218 Jones Avenue,High Point,NC,27260,3/12/1948,MasterCard,5582967929169816,2/2012
263-62-0644,male,John,C,Turner,4418 Heavens Way,Sarasota,FL,34236,10/30/1948,MasterCard,5164206880067206,6/2015
394-15-5570,female,Andrea,R,Herron,2717 Comfort Court,Madison,WI,53704,6/20/1931,MasterCard,5538528934100694,6/2015
567-53-2927,female,Anne,T,Garrow,1395 Coleman Avenue,Palm Springs,CA,92262,11/26/1961,MasterCard,5227407912478271,7/2013
533-02-9042,male,Eugene,C,Johnson,4371 Union Street,Seattle,WA,98119,3/10/1958,MasterCard,5257495990269095,8/2014
158-02-6774,female,Kathy,L,Velasco,3370 Lakewood Drive,Belleville,NJ,07109,11/24/1927,Visa,4716205854478437,12/2013
503-03-0494,male,Cecil,D,Roberts,4595 Hartway Street,Kadoka,SD,57543,4/21/1950,Visa,4556438979659168,8/2015
328-42-4231,male,William,D,Wilkerson,4277 Oakmound Road,Chicago,IL,60641,7/31/1977,MasterCard,5273962493899173,11/2011
266-54-6460,female,Elenore,D,Rodriguez,2672 Ethels Lane,Tampa,FL,33607,9/1/1969,Visa,4929350993853414,2/2014
460-08-7878,male,Derek,P,Ollis,187 Michael Street,Houston,TX,77030,12/2/1981,MasterCard,5364475263284062,1/2012
668-05-7563,male,Clair,P,Johnson,3815 Holly Street,Rayle,GA,30660,12/25/1950,Visa,4539443886638240,4/2012
330-40-0067,male,Paul,M,Martin,495 Hog Camp Road,Wheeling,IL,60090,9/25/1941,Visa,4716695349498992,5/2011
344-54-2928,female,Agatha,C,Evans,4412 Pringle Drive,Burr Ridge,IL,61257,8/6/1927,Visa,4485451988819281,5/2012
201-70-5238,female,Trudy,R,Gonzales,4667 Losh Lane,Pittsburgh,PA,15219,2/9/1928,Visa,4532312013010820,9/2014
551-51-5046,female,Melissia,L,Acosta,797 Timber Ridge Road,Sacramento,CA,95814,6/26/1982,MasterCard,5533307243709478,10/2013
499-06-0336,male,William,M,Wilcox,1195 Rodney Street,Harvester,MO,63301,6/7/1966,MasterCard,5175148823502781,8/2012
321-20-7892,male,Frank,S,Parker,3527 Vesta Drive,Chicago,IL,60643,10/25/1954,Visa,4539605278572258,5/2013
636-64-8675,male,George,C,Shaul,491 Watson Lane,San Antonio,TX,78212,12/26/1952,Visa,4929515375851216,1/2012
620-66-6977,male,Johnny,K,Hunt,4183 Carson Street,San Diego,CA,92103,7/23/1955,MasterCard,5309415139824608,7/2015
603-49-2927,male,Jonathan,A,Holland,976 Vernon Street,Riverside,CA,92507,2/16/1941,MasterCard,5330055894929581,8/2015
134-18-9839,female,Lorraine,A,Golden,558 Duncan Avenue,New York,NY,10011,3/11/1966,Visa,4532913419780534,12/2014
104-05-1715,female,Juana,L,Lee,4927 Gandy Street,East Syracuse,NY,13057,4/9/1983,Visa,4929712362990160,12/2014
472-76-2882,male,David,S,Meeks,56 Orchard Street,Osseo,MN,55369,10/17/1968,MasterCard,5307796106111513,2/2012
216-70-9958,male,Joey,M,Johnson,1175 Columbia Boulevard,Greensboro,MD,21639,11/6/1971,MasterCard,5205370292826525,1/2012
257-60-1660,female,Catherine,T,Burton,1553 Junkins Avenue,Valdosta,GA,31601,6/16/1964,MasterCard,5530237834124139,5/2015
646-10-7518,male,Morris,E,Mauldin,3097 Burnside Avenue,Cedar City,UT,84720,1/4/1940,MasterCard,5212372968171427,3/2011
485-35-5226,male,Robert,D,Mercado,4557 Park Boulevard,Floris,IA,52560,12/3/1928,Visa,4916758408410635,1/2015
507-37-1468,female,Mary,S,Jones,1299 Post Farm Road,Genoa,NE,68640,11/3/1946,MasterCard,5330611489920904,6/2015
766-42-7649,male,Elmer,A,McNamara,786 Cherry Tree Drive,Jacksonville,FL,32202,10/21/1989,Visa,4485619474452086,6/2011
022-88-8227,male,Larry,K,Diaz,4262 Russell Street,Lawrence,MA,01840,4/30/1984,MasterCard,5289179306887640,11/2013
244-38-7806,male,Tyrone,T,Kyles,2095 Fire Access Road,Creston,NC,28615,5/15/1965,Visa,4556572019880846,11/2015
621-02-2503,male,Karl,S,Haven,4394 Rardin Drive,San Bruno,CA,94066,11/21/1968,MasterCard,5233876048769815,7/2014
665-10-0168,female,Lindsey,B,Phillips,167 Big Indian,New Orleans,LA,70112,2/23/1939,MasterCard,5351679282121495,5/2015
682-07-5130,male,Wendell,E,Maldonado,3051 Kooter Lane,Shelby,NC,28150,1/21/1985,MasterCard,5265929734683401,12/2015
492-07-3403,female,Zenaida,J,Estevez,2918 Blane Street,Saint Louis,MO,63101,1/29/1944,MasterCard,5518050084871697,4/2014
098-18-0947,male,Gilbert,C,Spencer,2231 Cliffside Drive,Norwich,NY,13815,5/26/1957,MasterCard,5338509052921733,1/2012
530-62-1400,female,Patricia,R,McGregor,3096 Camden Street,Reno,NV,89501,8/16/1988,Visa,4929090185747905,5/2014
610-88-2638,male,Carl,E,Rivera,4355 Ventura Drive,Santa Cruz,CA,95060,10/7/1965,Visa,4916280026246994,6/2015
409-43-3504,female,Joan,J,Boyster,4782 Melville Street,Jackson,TN,38301,8/17/1962,Visa,4539086080330625,5/2013
645-48-8600,female,Tangela,R,Bowers,1037 Sycamore Circle,Dallas,TX,75247,7/8/1981,MasterCard,5282221682915236,1/2013
646-30-8654,female,Linda,S,Miller,1794 North Street,Salt Lake City,UT,84116,10/28/1934,Visa,4716259541506001,5/2014
469-02-6523,male,Alvin,B,Lopez,1706 Lodgeville Road,Minneapolis,MN,55415,10/5/1927,Visa,4539901520091043,11/2011
555-94-9291,female,Carolyn,O,James,1534 Lowndes Hill Park Road,Santa Fe Springs,CA,90670,5/2/1970,Visa,4556790753178702,6/2011
143-80-7313,male,Shawn,D,Palmer,4772 Briarwood Drive,Camden,NJ,08102,11/23/1974,MasterCard,5113067340738949,6/2015
008-64-5172,male,Jose,M,Hopkins,1415 Duff Avenue,South Burlington,VT,05403,10/26/1935,Visa,4556414549811712,11/2015
040-96-9389,female,Janet,R,Rangel,2939 Copperhead Road,Hartford,CT,06103,4/7/1946,Visa,4716273604793349,12/2011
015-44-8191,female,Mary,J,Davis,888 Frank Avenue,Springfield,MA,01105,11/18/1964,Visa,4485632631855927,2/2013
108-28-0324,female,Barbara,C,Hull,2762 Anmoore Road,Brooklyn,NY,11213,3/12/1952,MasterCard,5321242637385021,10/2013
212-47-3159,male,Jorge,M,Paradis,3709 Harron Drive,Baltimore,MD,21201,12/8/1966,Visa,4532858556044279,9/2014
287-56-8091,male,Mervin,M,Coe,2245 Bingamon Road,Cleveland,OH,44114,12/29/1970,MasterCard,5414355164086271,4/2013
527-40-9017,female,Carol,D,Rodrigues,4076 Clarksburg Park Road,Munds Park,AZ,86017,3/21/1933,MasterCard,5496894123334365,3/2011
239-19-1415,male,Clarence,C,Maddox,4623 Fort Street,Rocky Mount,NC,27801,12/8/1947,MasterCard,5133706689855634,3/2015
375-15-4700,male,Raymond,L,Baskerville,2640 Amethyst Drive,Adrian,MI,49221,3/20/1940,Visa,4716691460728119,4/2013
311-34-3256,male,Kenny,J,Nitz,1293 Sugarfoot Lane,Lafayette,IN,47906,3/17/1944,MasterCard,5511097641569451,1/2015
168-68-9423,female,Linda,D,McMillon,1676 Spring Avenue,Philadelphia,PA,19103,6/10/1956,MasterCard,5198955606182463,8/2011
680-58-4671,female,Kathleen,D,Hyman,1698 Hall Street,Las Vegas,NV,89101,9/13/1992,Visa,4929900582594504,9/2013
286-30-6412,female,Victoria,J,Watts,4415 Goldie Lane,Cincinnati,OH,45202,8/2/1957,Visa,4532450984273983,10/2012
310-54-5474,female,Lisa,A,Troyer,3109 Neville Street,Odon,IN,47562,1/16/1941,MasterCard,5560293631552579,10/2014
560-16-2920,male,Michael,M,Henry,1448 Maple Street,Los Angeles,CA,90017,5/23/1958,Visa,4532623658565435,12/2012
540-68-5434,male,Darrell,I,Rose,1881 Sycamore Road,Brookings,OR,97415,2/13/1956,MasterCard,5206346471843720,9/2014
004-84-7201,male,Ronald,P,Smalls,4256 Bloomfield Way,Athens,ME,04912,11/18/1954,MasterCard,5521006492885021,12/2015
180-07-6743,female,Edna,O,Owen,2841 Garrett Street,Newark,PA,19714,5/9/1949,Visa,4532285698217847,2/2012
136-46-9544,male,Douglas,W,Vargas,4245 Lakewood Drive,Hackensack,NJ,07601,10/6/1977,MasterCard,5278758095839640,6/2015
146-36-8482,male,Jon,R,Grubb,1520 Lincoln Street,Camden,NJ,08102,5/16/1968,Visa,4556228015206037,7/2013
499-18-8652,female,Terra,J,Seymour,2990 Maple Court,Flat River,MO,63601,6/20/1978,MasterCard,5254365601118309,8/2013
217-51-8978,male,John,R,Brockington,456 Chatham Way,Mc Lean,MD,22102,2/16/1955,Visa,4716839150862504,8/2011
024-26-0148,female,Kimberly,M,Sutton,3489 Pearlman Avenue,Lawrence,MA,01840,7/9/1990,MasterCard,5285267127623205,3/2011
556-62-2635,female,Ruby,R,Durden,4463 Davis Avenue,Benicia,CA,94510,9/29/1975,MasterCard,5474924729810447,3/2014
355-16-4808,male,Donald,M,Gilstrap,3724 Fraggle Drive,Hinsdale,IL,60521,8/3/1952,Visa,4916045135331452,5/2011
485-25-1239,male,Christopher,M,Reyna,1176 Centennial Farm Road,Charter Oak,IA,51439,8/8/1969,Visa,4929268825036489,5/2014
536-60-7444,female,Becky,D,Johnson,1093 Calico Drive,Colville,WA,99114,4/30/1966,MasterCard,5433170097926015,10/2012
594-88-9020,male,Thomas,L,Thomas,3207 Ocala Street,Orlando,FL,32809,11/4/1931,Visa,4716088331289571,2/2012
303-15-3164,male,John,H,Willey,2394 Jadewood Drive,Hebron,IN,46341,7/5/1964,MasterCard,5258002213794328,1/2012
542-23-4790,female,Meryl,F,Rock,1062 Hope Street,Portland,OR,97204,12/30/1952,Visa,4929541569324927,9/2011
528-87-3354,male,Earl,I,Luker,24 Hickory Street,Salt Lake City,UT,84116,4/24/1975,Visa,4916001693787536,12/2011
501-48-2448,male,Trent,C,Talton,1264 Findley Avenue,Cooperstown,ND,58425,6/25/1954,MasterCard,5266233660183406,9/2012
272-10-9852,male,Claude,K,Whitehead,497 Pursglove Court,Ansonia,OH,45303,6/9/1954,Visa,4716822251765024,5/2013
555-63-7864,female,Sara,V,Pearman,1360 Liberty Avenue,Fullerton,CA,92632,9/4/1955,Visa,4929242582267462,3/2015
127-18-2184,male,Raul,C,Chappell,833 West Virginia Avenue,Albany,NY,12210,6/28/1981,MasterCard,5373733529823993,3/2014
554-92-1608,male,Brian,S,Williams,1295 Wilson Street,Los Angeles,CA,90017,6/30/1931,MasterCard,5134246282638110,7/2013
557-72-6261,female,Dorothy,N,Stromberg,289 Heritage Road,Fresno,CA,93721,8/3/1940,Visa,4916825047564237,11/2012
221-52-7479,female,Jordan,C,Salvador,3478 Argonne Street,Philadelphia,DE,19103,8/30/1966,MasterCard,5553937381738890,3/2012
291-96-8838,female,June,B,Morris,4278 Norma Avenue,Bellefontaine,OH,43311,8/1/1937,MasterCard,5393510780568517,7/2015
254-12-4832,male,Gerald,S,Gutshall,2851 Hart Country Lane,Lagrange,GA,30240,7/20/1932,MasterCard,5547302692533622,7/2011
014-32-5449,male,Mark,M,Oldham,2078 Dane Street,New Bedford,MA,02740,10/4/1980,MasterCard,5277227221710084,1/2013
554-87-7001,female,Gloria,B,Kline,4097 Vernon Street,Carlsbad,CA,92009,4/4/1956,Visa,4716960480736448,8/2012
573-40-4986,female,Geraldine,E,Starnes,3927 Kerry Way,Burbank,CA,91505,1/28/1929,MasterCard,5328291811004158,10/2015
488-72-4692,male,Armando,K,Exley,2626 Blair Court,Powersville,MO,64672,7/29/1988,Visa,4556127925812209,5/2011
765-60-5554,female,Brenda,C,Stover,3686 Washington Avenue,Phoenix,AZ,85012,3/25/1932,Visa,4485679802733540,8/2014
149-26-0901,male,Elmer,L,Jones,1838 Drummond Street,Boonton,NJ,07005,7/26/1946,MasterCard,5134191293778788,7/2012
413-15-9654,female,Cathy,J,Steward,4217 Raver Croft Drive,La Follette,TN,37766,1/29/1988,MasterCard,5524938855730922,5/2014
047-78-8140,male,Charles,M,Dibenedetto,2879 Copperhead Road,Southington,CT,06489,8/30/1948,MasterCard,5470043201939048,7/2012
